id;name;;;;
264;Dinas Pemberdayaan Perempuan dan Perlindungan Anak serta Pengendalian Penduduk dan Keluarga Berencana;;;;
23;Dinas Sosial;;;;
121;Kelurahan Dukuh Pakis;;;;
521;Dinas Kebudayaan Kepemudaan dan Olah Raga serta Pariwisata;;;;
131;Kelurahan Pagesangan;;;;
141;Kelurahan Sawahan;;;;
132;Kelurahan Karangpilang;;;;
133;Kelurahan Kebraon;;;;
134;Kelurahan Kedurus;;;;
135;Kelurahan Waru Gunung;;;;
136;Kelurahan Banyu Urip;;;;
137;Kelurahan Kupang Krajan;;;;
138;Kelurahan Pakis;;;;
139;Kelurahan Petemon;;;;
140;Kelurahan Putat Jaya;;;;
142;Kelurahan Babatan;;;;
143;Kelurahan Balas Klumprik;;;;
144;Kelurahan Jajar Tunggal;;;;
145;Kelurahan Wiyung;;;;
146;Kelurahan Bendul Merisi;;;;
147;Kelurahan Jemur Wonosari;;;;
148;Kelurahan Margorejo;;;;
149;Kelurahan Sidosermo;;;;
150;Kelurahan Siwalankerto;;;;
151;Kelurahan Darmo;;;;
152;Kelurahan Jagir;;;;
153;Kelurahan Ngagel;;;;
154;Kelurahan Ngagel Rejo;;;;
155;Kelurahan Sawunggaling;;;;
156;Kelurahan Wonokromo;;;;
157;Kelurahan Airlangga;;;;
164;Kelurahan Gunung Anyar Tambak;;;;
225;Kelurahan Simomulyo;;;;
226;Kelurahan Simomulyo Baru;;;;
227;Kelurahan Sonokwijenan;;;;
228;Kelurahan Sukomanunggal;;;;
229;Kelurahan Tanjung Sari;;;;
125;Kelurahan Gayungan;;;;
126;Kelurahan Ketintang;;;;
127;Kelurahan Menanggal;;;;
128;Kelurahan Jambangan;;;;
129;Kelurahan Karah;;;;
130;Kelurahan Kebonsari;;;;
522;Dinas Koperasi Usaha Kecil dan Menengah dan Perdagangan;;;;
53;Kecamatan Mulyorejo;;;;
72;Kecamatan Jambangan;;;;
73;Kecamatan Gayungan;;;;
74;Kecamatan Dukuh Pakis;;;;
75;Kecamatan Sawahan;;;;
50;Kecamatan Gunung Anyar;;;;
51;Kecamatan Sukolilo;;;;
52;Kecamatan Tambaksari;;;;
54;Kecamatan Rungkut;;;;
55;Kecamatan Tenggilis Mejoyo;;;;
56;Kecamatan Benowo;;;;
57;Kecamatan Pakal;;;;
58;Kecamatan Asemrowo;;;;
59;Kecamatan Sukomanunggal;;;;
60;Kecamatan Tandes;;;;
62;Kecamatan Lakarsantri;;;;
64;Kecamatan Kenjeran;;;;
65;Kecamatan Semampir;;;;
66;Kecamatan Pabean Cantian;;;;
67;Kecamatan Krembangan;;;;
68;Kecamatan Wonocolo;;;;
69;Kecamatan Wonokromo;;;;
70;Kecamatan Wiyung;;;;
116;Kelurahan Pegirian;;;;
118;Kelurahan Ujung;;;;
119;Kelurahan Wonokusumo;;;;
120;Kelurahan Dukuh Kupang;;;;
122;Kelurahan Gunung Sari;;;;
123;Kelurahan Pradah Kali Kendal;;;;
124;Kelurahan Dukuh Menanggal;;;;
